route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11693,303,3308869,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,303,3308870,HUNT VALLEY,,0,7007,GB_HV,1,1
11693,303,3308871,HUNT VALLEY,,0,7002,GB_HV,1,1
11693,303,3308872,HUNT VALLEY,,0,7010,GB_HV,1,1
11693,303,3308873,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,303,3308874,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,303,3308875,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,303,3308876,HUNT VALLEY,,0,7007,GB_HV,1,1
11693,303,3308877,HUNT VALLEY,,0,7002,GB_HV,1,1
11693,303,3308878,HUNT VALLEY,,0,7010,GB_HV,1,1
11693,303,3308879,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,303,3308880,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,303,3308881,HUNT VALLEY,,0,7008,CAM_HV,1,1
11693,303,3308882,HUNT VALLEY,,0,7003,CAM_HV,1,1
11693,303,3308883,HUNT VALLEY,,0,7011,NA_HV,1,1
11693,303,3308884,HUNT VALLEY,,0,7007,NA_HV,1,1
11693,303,3308885,HUNT VALLEY,,0,7005,NA_HV,1,1
11693,303,3308886,HUNT VALLEY,,0,7002,NA_HV,1,1
11693,303,3308887,CAMDEN STATION,,1,7008,NA_CAM,1,1
11693,303,3308888,CAMDEN STATION,,1,7003,NA_CAM,1,1
11693,303,3308889,CROMWELL STATION,,1,7001,NA_GB,1,1
11693,303,3308890,CROMWELL STATION,,1,7010,NA_GB,1,1
11693,303,3308891,CROMWELL STATION,,1,7006,NA_GB,1,1
11693,303,3308892,BWI AIRPORT,,1,7012,NA_BWI,1,1
11693,303,3308893,BWI AIRPORT,,1,7009,NA_BWI,1,1
11693,303,3308894,BWI AIRPORT,,1,7004,NA_BWI,1,1
11693,303,3308895,NORTH AVE STATION,,1,7004,HV_NA,1,1
11693,303,3308896,NORTH AVE STATION,,1,7008,HV_NA,1,1
11693,303,3308897,NORTH AVE STATION,,1,7003,HV_NA,1,1
11693,303,3308898,CAMDEN STATION,,1,7005,HV_CAM,1,1
11693,303,3308899,BWI AIRPORT,,1,7012,HV_BWI,1,1
11693,303,3308900,BWI AIRPORT,,1,7009,HV_BWI,1,1
11693,303,3308901,BWI AIRPORT,,1,7004,HV_BWI,1,1
11693,303,3308902,BWI AIRPORT,,1,7008,HV_BWI,1,1
11693,303,3308903,BWI AIRPORT,,1,7003,HV_BWI,1,1
11693,303,3308904,BWI AIRPORT,,1,7005,HV_BWI,1,1
11693,303,3308905,BWI AIRPORT,,1,7012,HV_BWI,1,1
11693,303,3308906,BWI AIRPORT,,1,7009,HV_BWI,1,1
11693,303,3308907,BWI AIRPORT,,1,7004,HV_BWI,1,1
